sha,message,author,committer,url,total_changes,organization,repository
aeed63a70c2e0b17dc4e949e951f67fb582bea69,refactor: port usage viewer service from FastAPI to Tornado (#43),Tarashish Mishra,GitHub,https://github.com/2i2c-org/jupyterhub-usage-quotas/commit/aeed63a70c2e0b17dc4e949e951f67fb582bea69,1028,2i2c-org,jupyterhub-usage-quotas
04215347e9f05cc95b7a4eb4c87066bb7bf6f1f9,fix: deal with paginated response from Hub REST API (#58),Jenny Wong,GitHub,https://github.com/2i2c-org/jupyterhub-usage-quotas/commit/04215347e9f05cc95b7a4eb4c87066bb7bf6f1f9,70,2i2c-org,jupyterhub-usage-quotas
699f25c3702e472f1e07d417f9eb455a8b70d2e1,Bump to 0.1.3.dev,jnywong,jnywong,https://github.com/2i2c-org/jupyterhub-usage-quotas/commit/699f25c3702e472f1e07d417f9eb455a8b70d2e1,4,2i2c-org,jupyterhub-usage-quotas
ffbf2a98ef71da782f045a2b8c07d83cb66b5564,Bump to 0.1.2,jnywong,jnywong,https://github.com/2i2c-org/jupyterhub-usage-quotas/commit/ffbf2a98ef71da782f045a2b8c07d83cb66b5564,4,2i2c-org,jupyterhub-usage-quotas
737c89966baa3bee888e2b11923663c6f855eeba,docs: update changelog (#57),Jenny Wong,GitHub,https://github.com/2i2c-org/jupyterhub-usage-quotas/commit/737c89966baa3bee888e2b11923663c6f855eeba,30,2i2c-org,jupyterhub-usage-quotas
59fdd58e0c6d911a99dd8a8daf18f941e8852651,fix: patch api client and hub_url config (#56),Jenny Wong,GitHub,https://github.com/2i2c-org/jupyterhub-usage-quotas/commit/59fdd58e0c6d911a99dd8a8daf18f941e8852651,19,2i2c-org,jupyterhub-usage-quotas
bf95845f2761400cc56af25ac2c7a38c2d0e5fd3,"feat: don""t override existing pre-spawn hooks (#55)",Jenny Wong,GitHub,https://github.com/2i2c-org/jupyterhub-usage-quotas/commit/bf95845f2761400cc56af25ac2c7a38c2d0e5fd3,34,2i2c-org,jupyterhub-usage-quotas
cdfc0b424465779e7d806945712a176b648e7a8e,refactor: Use hub REST API to get user and groups for metrics exporter  (#54),Jenny Wong,GitHub,https://github.com/2i2c-org/jupyterhub-usage-quotas/commit/cdfc0b424465779e7d806945712a176b648e7a8e,73,2i2c-org,jupyterhub-usage-quotas
f2689dcd155e22e9a1f4115e78448f5393b021c6,feat: add BaseHandler (#52),Jenny Wong,GitHub,https://github.com/2i2c-org/jupyterhub-usage-quotas/commit/f2689dcd155e22e9a1f4115e78448f5393b021c6,20,2i2c-org,jupyterhub-usage-quotas
0cff92103d39722463a02f14c68a69bf6fa88da5,feat: add metrics for monitoring (#51),Jenny Wong,GitHub,https://github.com/2i2c-org/jupyterhub-usage-quotas/commit/0cff92103d39722463a02f14c68a69bf6fa88da5,101,2i2c-org,jupyterhub-usage-quotas
b6335e9343e7bb00b0785a71a2468a4b47cb9e3c,docs: Update quickstart (#50),Jenny Wong,GitHub,https://github.com/2i2c-org/jupyterhub-usage-quotas/commit/b6335e9343e7bb00b0785a71a2468a4b47cb9e3c,135,2i2c-org,jupyterhub-usage-quotas
bfdbe0bee333610ff2163455e5da36eea9f5d893,feat: tweak config (#49),Jenny Wong,GitHub,https://github.com/2i2c-org/jupyterhub-usage-quotas/commit/bfdbe0bee333610ff2163455e5da36eea9f5d893,1140,2i2c-org,jupyterhub-usage-quotas
2f225fa513fcd81cbef39064ff983193743504eb,feat: consolidate config (#48),Jenny Wong,GitHub,https://github.com/2i2c-org/jupyterhub-usage-quotas/commit/2f225fa513fcd81cbef39064ff983193743504eb,779,2i2c-org,jupyterhub-usage-quotas
adf014050b9569999dc26dae819762774d2009c1,Bump to 0.1.2.dev,jnywong,jnywong,https://github.com/2i2c-org/jupyterhub-usage-quotas/commit/adf014050b9569999dc26dae819762774d2009c1,4,2i2c-org,jupyterhub-usage-quotas
32446237251d4fcba088289a1b03b5b929390040,Bump to 0.1.1,jnywong,jnywong,https://github.com/2i2c-org/jupyterhub-usage-quotas/commit/32446237251d4fcba088289a1b03b5b929390040,4,2i2c-org,jupyterhub-usage-quotas
022dc5e606ec853df7c97639cd0018618f67e01c,docs: update changelog (#47),Jenny Wong,GitHub,https://github.com/2i2c-org/jupyterhub-usage-quotas/commit/022dc5e606ec853df7c97639cd0018618f67e01c,29,2i2c-org,jupyterhub-usage-quotas
e084a6fd31f6c3a24818490269fd2f9833b6a580,feat: Add tests and docs for usage viewer (#46),Jenny Wong,GitHub,https://github.com/2i2c-org/jupyterhub-usage-quotas/commit/e084a6fd31f6c3a24818490269fd2f9833b6a580,590,2i2c-org,jupyterhub-usage-quotas
151611d97a999608a4185e00da4bb67b606fc853,feat: update usage viewer (#45),Jenny Wong,GitHub,https://github.com/2i2c-org/jupyterhub-usage-quotas/commit/151611d97a999608a4185e00da4bb67b606fc853,360,2i2c-org,jupyterhub-usage-quotas
45d5ce076390fd24f8abed58ba7482a37f5aa1a6,feat: add extra note on colima setup,jnywong,jnywong,https://github.com/2i2c-org/jupyterhub-usage-quotas/commit/45d5ce076390fd24f8abed58ba7482a37f5aa1a6,4,2i2c-org,jupyterhub-usage-quotas
a2cba773049eb77b8b1ce97e1de50324022d9a21,ci: typing,jnywong,Jenny Wong,https://github.com/2i2c-org/jupyterhub-usage-quotas/commit/a2cba773049eb77b8b1ce97e1de50324022d9a21,4,2i2c-org,jupyterhub-usage-quotas
12dc86407394bd64f55d381f96f09579e1957da8,fix: revert config option,jnywong,Jenny Wong,https://github.com/2i2c-org/jupyterhub-usage-quotas/commit/12dc86407394bd64f55d381f96f09579e1957da8,2,2i2c-org,jupyterhub-usage-quotas
13ec54c89c1cecf8fa1136bb4d6ec09ccde92956,chore: update changelog,jnywong,Jenny Wong,https://github.com/2i2c-org/jupyterhub-usage-quotas/commit/13ec54c89c1cecf8fa1136bb4d6ec09ccde92956,2,2i2c-org,jupyterhub-usage-quotas
b9d2efd710a2dbc9f50d20c9bb91cc63ed33912e,ci: typing,jnywong,Jenny Wong,https://github.com/2i2c-org/jupyterhub-usage-quotas/commit/b9d2efd710a2dbc9f50d20c9bb91cc63ed33912e,2,2i2c-org,jupyterhub-usage-quotas
